ACTION_POINTS_LABEL	Pontos de Ação:
NO_CASH_TRAIN_EMPLOYEE	Não há dinheiro suficiênte para treinar o empregado.
NO_CASH_DO_CLEANING	Não há dinheiro suficiênte para fazer a limpeza.
NO_POINTS_BUY_INGREDIENT	Não há pontos de ação suficiêntes para comprar o ingrediente.
NO_POINTS_HIRE_EQUIPMENT	Não há pontos de ação suficiêntes para comprar o equipament.
NO_POINTS_HIRE_ADVERTISEMENT	Não há pontos de ação suficiêntes para fazer propaganda.
NO_POINTS_HIRE_EMPLOYEE	Não há pontos de ação suficiêntes para contratar o empregado.
NO_POINTS_DISMISS_EMPLOYEE	Não há pontos de ação suficiêntes para demitir o empregado.
NO_POINTS_TRAIN_EMPLOYEE	Não há pontos de ação suficiêntes para treinar o empregado.
NO_POINTS_DO_CLEANING	Não há pontos de ação suficiêntes para fazer limpeza.
EMPLOYEE_ALREADY_TRAINED	O empregado já foi treinado
INGREDIENT_AQUIRED	Ingrediente adquirido.
EQUIPMENT_AQUIRED	Equipamento adquirido.
EMPLOYEE_HIRED	Empregado contratado.
EMPLOYEE_TRAINED	Empregado realizou treinamento.
EMPLOYEE_DISMISSED	Empregado foi demitido.
CLEANING_DONE	Limpeza realizada.
CLIENT_ORDER	Cliente pediu um 
CLIENT_ORDER_ATTENDED	Cliente foi atendido.
CLIENT_ORDER_NOT_ATTENDED	Cliente não foi atendido.
DISH_CAN_NOT_BE_PREPARED	Nenhum Chef pode preparar o prato.
CLIENT_SLEFT	clientes não conseguiram fazer o pedido.
OUT_OF_INGREDIENTS	Não há ingredientes suficiênte para preparar o prato.
CLIENT_WAIT_TOO_LONG	O cliente esperou de mais e foi embora.
DIRTNESS_INCREASED	O nível de sujeira subiu: 
DIRTNESS_DECREASED	O nível de sujeira caiu: 
SATISFACTION_INCREASED	A satisfação dos clientes subiu: 
SATISFACTION_DECREASED	A satisfação dos clientes caiu 
EMPLOYEES_HAPPINESS_INCREASED	A felicidade dos empregados subiu: 
EMPLOYEES_HAPPINESS_DECREASED	A felicidade dos empregados caiu: 
EMPLOYEES_SKILL_INCREASED_FOR_TYPE	O nível de skill subiu: 
ROTTEN_INGREDIENTS_DISCARTED	Os ingredientes ficaram podres e foram descartados 
ADVERTISEMENTS_OVER	Os anúncios contratados acabaram.
SALARIES_PAY_MENT	O pagamento do salário dos empregados foi realizado.
INGREDIENTS_PEND	Ingrediente gasto: 
PRICES_ALREADY_CHANGED	Preços só podem ser alterados uma vez por rodada.
NOT_ENOUGH_POINTS	Não há pontos suficiêntes para completar a ação.
NOT_ENOUGH_MONEY	Não há dinheiro suficiênte para completar a ação.
INVENTORY_OUT_OF_SPACE	Não há espaço na dispensa. Limite de itens: 
STORAGE_TIME_DECREASED	Tempo de armazenamento diminuiu para: 
STORAGE_TIME_INCREASED	Tempo de armazenamento subiu para: 
TOO_DIRT	Que nojo! Um ambiente limpo de trabalho é essencial tanto para seus cliente quanto para os seus funcionários, principalmente se for uma lanchonete! O Ministério da Saúde Interplanetária teve que incendiar o local para matar todas as Xenobactérias! Tente novamente!
LOW_SATISFACTION	Que pena! Os clientes estão xingando muito na Internet! Lembre-se, um cliente insatisfeito espalha a notícia para mais cinco! Então tente agradar mais sua clientela e tente de novo!
BANKROUPT	Seu negócio entrou em falência.
BACK_TO_MAIN_SCREEN	Gostaria de voltar para a tela principal?
DAYS_UNIT	dias
POINTS_UNIT	pontos
SCORE	Score:
